Year,Quarter
2025,April - June 2025
2025,January - March 2025
2024,October - December 2024
2024,July - September 2024
2024,April - June 2024
2024,January - March 2024
2023,October - December 2023
2023,July - September 2023
2023,April - June 2023
2023,January - March 2023
2022,October - December 2022
2022,July - September 2022
2022,April - June 2022
2022,January - March 2022
2021,October - December 2021
2021,July - September 2021
2021,April - June 2021
2021,January - March 2021
2020,October - December 2020
2020,July - September 2020
2020,April - June 2020
2020,January - March 2020
2019,October - December 2019
2019,July - September 2019
2019,April - June 2019
2019,January - March 2019
2018,October - December 2018
2018,July - September 2018
2018,April - June 2018
2018,January - March 2018
2017,October - December 2017
2017,July - September 2017
2017,April - June 2017
2017,January - March 2017
2016,October - December 2016
2016,July - September 2016
2016,April - June 2016
2016,January - March 2016
2015,October - December 2015
2015,July - September 2015
2015,April - June 2015
2015,January - March 2015
2014,October - December 2014
2014,July - September 2014
2014,April - June 2014
2014,January - March 2014
2013,October - December 2013
2013,July - September 2013
2013,April - June 2013
2013,January - March 2013
2012,October - December 2012
2012,July - September 2012
2012,April - June 2012
2012,January - March 2012
2011,October - December 2011
2011,July - September 2011
2011,April - June 2011
2011,January - March 2011
2010,October - December 2010
2010,July - September 2010
2010,April - June 2010
2010,January - March 2010
2009,October - December 2009
2009,July - September 2009
2009,April - June 2009
2009,January - March 2009
2008,October - December 2008
2008,July - September 2008
2008,April - June 2008
2008,January - March 2008
2007,October - December 2007
2007,July - September 2007
2007,April - June 2007
2007,January - March 2007
2006,October - December 2006
2006,July - September 2006
2006,April - June 2006
2006,January - March 2006
2005,October - December 2005
2005,July - September 2005
2005,April - June 2005
2005,January - March 2005
2004,October - December 2004
2004,July - September 2004
2004,April - June 2004
2004,January - March 2004
